Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release
New Zealand,https://open.spotify.com/track/5v7h5vQgCJKZT5vB3I9s3o,68931.1,in the air,L.A.B.,0,nz reggae,60018,1,L.A.B. III,12/6/2019,2,10,0.974,0.643,9,-8.857,0,0.0452,0.105,0.00141,0.0833,0.967,117.985,252680,4,reggae,344
Finland,https://open.spotify.com/track/1z4jCtA9thODROr8aMdcyP,68943.35,japanese drip,Kube - Cledos,0,finnish dance pop,34265,1,Hakunila Killah,9/13/2019,4,14,0.972,0.448,6,-10.784,0,0.204,0.0433,0.00455,0.106,0.152,109.023,164588,4,pop,428
France,https://open.spotify.com/track/7gXWIxX7rUtKGNtRkot8p3,4980,mamamia,RIDSA,0,francoton,438505,1,Libre,4/14/2017,6,16,0.972,0.481,7,-7.126,0,0.0824,0.105,4.87E-06,0.102,0.77,128.02,228760,4,indie,1307
France,https://open.spotify.com/track/6sO5rB2K8fIJVt11Omgw8Y,4190.8,amigo,Jul,0,francoton,3127974,1,La tête dans les nuages,12/1/2017,1,19,0.968,0.589,10,-8.593,0,0.0827,0.188,1.84E-06,0.0949,0.625,126.995,174853,4,indie,1079
Austria,https://open.spotify.com/track/40WQl2fD6jTAV2zXLQZbaT,114.75,sie will zu mir,Yung Hurn,0,german hip hop,326465,1,Y,11/8/2019,4,13,0.968,0.517,2,-8.924,1,0.142,0.111,2.06E-06,0.169,0.652,130.056,180693,4,hip hop,372
Denmark,https://open.spotify.com/track/73skF4Y2MgeL9YwJYv4ac9,9134.7,nu her,Benal,0,danish hip hop,21127,1,Benjamin Og Albert,11/2/2018,9,10,0.967,0.7,0,-6.204,1,0.1,0.378,1.98E-06,0.321,0.654,115.968,242269,4,hip hop,743
France,https://open.spotify.com/track/4Lvc9SbPc0svm9TEoMgFzB,108.8,sexyback,Justin Timberlake - Timbaland,0,dance pop,9849964,1,FutureSex/LoveSounds Deluxe Edition,9/13/2006,2,15,0.967,0.599,7,-5.659,0,0.0706,0.0679,0,0.0526,0.964,117,242800,4,pop,5167
Global,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,311.25,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
USA,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,161.9,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
UK,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,316.6,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Argentina,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,31.2,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Austria,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,375.9,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Australia,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,344,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Belgium,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,234.15,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Brazil,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,94.6,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Canada,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,440.8,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Switzerland,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,194.75,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Costa Rica,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,37.6,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Germany,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,72,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Denmark,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,214.8,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Ireland,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,387.95,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Malaysia,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,170.4,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Netherlands,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,728.35,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Norway,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,50.4,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
New Zealand,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,332.55,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Poland,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,461.1,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Portugal,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,577.1,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Sweden,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,70.4,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Singapore,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,236.65,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Taiwan,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,297.1,particular taste,Shawn Mendes,0,canadian pop,29743681,1,Shawn Mendes,5/25/2018,7,14,0.967,0.352,9,-7.122,1,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573,4,pop,904
Costa Rica,https://open.spotify.com/track/5mGgDgKFF2ZPw1aowsYb2e,14.4,drogba,Afro B,0,afroswing,115214,1,Afrowave 2,7/6/2018,5,9,0.966,0.633,2,-6.392,1,0.101,0.0206,4.06E-06,0.0715,0.767,108.011,199000,4,r&b/soul,862
France,https://open.spotify.com/track/4Il6JsH34wsA41en7OFaYZ,399.4,facilement,Jul,0,francoton,3127974,1,La tête dans les nuages,12/1/2017,16,19,0.966,0.781,11,-6.399,0,0.128,0.605,0.0045,0.226,0.848,129.976,201000,4,indie,1079
UK,https://open.spotify.com/track/2nCmCt4B5vkabS0zeOuc1Z,38.4,push the button,Sugababes,0,bubblegum dance,446048,1,Taller In More Ways,1/1/2005,1,13,0.962,0.662,8,-5.093,1,0.0578,0.0517,0,0.0799,0.801,126.007,218093,4,dance/electronic,5787
Ireland,https://open.spotify.com/track/2nCmCt4B5vkabS0zeOuc1Z,11.2,push the button,Sugababes,0,bubblegum dance,446048,1,Taller In More Ways,1/1/2005,1,13,0.962,0.662,8,-5.093,1,0.0578,0.0517,0,0.0799,0.801,126.007,218093,4,dance/electronic,5787
Belgium,https://open.spotify.com/track/4iIH0uHA0KI2kHJaKnZN03,11.2,alibi,Rémy - Leto,0,french hip hop,83772,1,Rémy d'Auber,10/25/2019,3,13,0.961,0.677,1,-6.558,0,0.132,0.419,0,0.0839,0.585,126.018,218893,4,hip hop,386
France,https://open.spotify.com/track/4iIH0uHA0KI2kHJaKnZN03,10610.3,alibi,Rémy - Leto,0,french hip hop,83772,1,Rémy d'Auber,10/25/2019,3,13,0.961,0.677,1,-6.558,0,0.132,0.419,0,0.0839,0.585,126.018,218893,4,hip hop,386
France,https://open.spotify.com/track/5xYPK8M3ANRu5IgQBnYcP8,228.9,ferme les yeux,Bigflo & Oli - Tryo,0,francoton,1305319,1,La vie de rêve,11/23/2018,9,15,0.96,0.724,5,-6.322,0,0.0601,0.258,0,0.0777,0.768,115.02,301427,4,indie,722
Chile,https://open.spotify.com/track/0T3Wg1Xf7HidFDTV0G4vEf,511.2,con silenciador,El Alfa - Anuel AA,0,dembow,1276154,1,El Hombre,11/2/2018,7,14,0.96,0.82,1,-3.13,1,0.219,0.509,1.73E-05,0.123,0.363,116.048,174828,4,reggaeton,743
France,https://open.spotify.com/track/0SKNkEMV313mE6oYsgVCgm,104,joublie tout,Jul,0,francoton,3127974,1,Dans ma paranoïa,2/24/2014,5,17,0.959,0.658,0,-6.222,0,0.0573,0.108,6.81E-05,0.0979,0.691,119.998,316778,4,indie,2446
Switzerland,https://open.spotify.com/track/58kSEE8Qi3OXPgZbnVG2cS,80.8,afro trap pt. 10,MHD,0,francoton,1408714,1,19,9/19/2018,12,19,0.959,0.769,1,-5.811,1,0.0853,0.00859,0.000221,0.0972,0.374,130.048,174101,4,indie,787
France,https://open.spotify.com/track/58kSEE8Qi3OXPgZbnVG2cS,348.7,afro trap pt. 10,MHD,0,francoton,1408714,1,19,9/19/2018,12,19,0.959,0.769,1,-5.811,1,0.0853,0.00859,0.000221,0.0972,0.374,130.048,174101,4,indie,787
Spain,https://open.spotify.com/track/7M3W79c9V6e1oLgHkx0gfv,1423.45,a güiro,Rafa Pabön,0,reggaeton,93762,1,10:22,10/22/2020,8,8,0.958,0.581,4,-5.424,0,0.134,0.185,0.0707,0.0282,0.902,120.026,163250,4,reggaeton,23
Netherlands,https://open.spotify.com/track/2BBYyNWl91wiki7PyJxdOs,52.8,omg,Mensa,0,dutch drill,8438,1,Coming To Earth,10/10/2019,8,10,0.957,0.671,0,-4.655,1,0.327,0.0858,0,0.339,0.809,115.094,166500,4,trap,401
